Group,Subgroup,Product,CatagoryAll,Category1,Category2,Category3,ProductID,ProductName,Volumn,CurrentPrice,FullPrice,Description,Specific,Refund
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%98%E0%B8%87-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-15-%E0%B8%8B%E0%B8%A1.-%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%AD%E0%B9%82%E0%B8%A3%E0%B9%88/91aff034-0ff7-4474-b198-9f1e55029f12,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ไม้เสียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ไม้เสียบ,"31,283",ไม้เสียบอาหารธง ขนาด 15 ซม. ตราเอโร่,250 ชิ้น/แพ็ค,,฿96.00,ไม้เสียบอาหารธง ขนาด 15 ซม. ตราเอโร่ 250 ชิ้น/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%8D%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%89%E0%B8%B5%E0%B8%81-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B8%B2%E0%B8%A7-21-%E0%B8%8B%E0%B8%A1./7c45cd0f-4cef-45bc-898a-447890d576af,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ตะเกียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ตะเกียบ,"32,481",ตะเกียบญี่ปุ่นแบบฉีก ความยาว 21 ซม.,100 ชิ้น/แพ็ค,,฿72.00,ตะเกียบญี่ปุ่นแบบฉีก ความยาว 21 ซม. 100 ชิ้น/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%8D%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B8%B2%E0%B8%A7-21-%E0%B8%8B%E0%B8%A1.-%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%AD%E0%B9%82%E0%B8%A3%E0%B9%88/8061b5e4-fdd7-417a-a88f-72e090348593,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ตะเกียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ตะเกียบ,"19,408",ตะเกียบไม้ไผ่ญี่ปุ่นปลายเปิด ความยาว 21 ซม. ตราเอโร่,100 ชิ้น/แพ็ค,,฿88.00,ตะเกียบไม้ไผ่ญี่ปุ่นปลายเปิด ความยาว 21 ซม. ตราเอโร่ 100 ชิ้น/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%84%E0%B8%9C%E0%B9%88-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B8%B2%E0%B8%A7-20-%E0%B8%8B%E0%B8%A1./9bc9fab2-fca1-443b-b85f-051be5381ccc,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ตะเกียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ตะเกียบ,"30,418",ตะเกียบไม้ไผ่ ความยาว 20 ซม.,100 คู่/แพ็ค,,฿35.00,ตะเกียบไม้ไผ่ ความยาว 20 ซม. 100 คู่/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%84%E0%B8%9C%E0%B9%88-22-%E0%B8%8B%E0%B8%A1.-%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA/a4b2f193-225a-440f-ada6-268c8e8b1ddb,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ตะเกียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ตะเกียบ,"34,225",ตะเกียบไม้ไผ่ 22 ซม. ตราโลตัส,300 คู่/แพ็ค,,฿130.00,โลตัส ตะเกียบไม้ไผ่ 22 ซม. ตราโลตัส 300 คู่/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/skewer-chopsticks-toothpick,https://www.freshket.co/product/detail/%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%AD%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B1%E0%B8%A2-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B8%B2%E0%B8%A7-22-%E0%B8%8B%E0%B8%A1./a86fa058-3747-4e24-90b6-471858969b5a,"บรรจุภัณฑ์
ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน
ตะเกียบ",บรรจุภัณฑ์,ไม้เสียบ ตะเกียบ และไม้จิ้มฟัน,ตะเกียบ,"12,892",ตะเกียบอนามัย ความยาว 22 ซม.,100 คู่/แพ็ค,,฿41.00,ตะเกียบอนามัย ความยาว 22 ซม. 100 คู่/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/food-wraps,https://www.freshket.co/product/detail/%E0%B8%9F%E0%B8%B4%E0%B8%A5%E0%B9%8C%E0%B8%A1%E0%B8%A2%E0%B8%B7%E0%B8%94-16-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B4%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-400-%E0%B8%A1%E0%B8%A1.x500-%E0%B8%A1./21bb6c96-6d12-4e9a-aaa8-f5613a5c71c0,"บรรจุภัณฑ์
ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร
ฟิล์มถนอมอาหาร",บรรจุภัณฑ์,ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร,ฟิล์มถนอมอาหาร,"13,767",ฟิล์มยืด 16 นิ้ว ตรานิชชิน ขนาด 400 มม.x500 ม.,1 ชิ้น/แพ็ค,,฿417.00,ฟิล์มยืด 16 นิ้ว ตรานิชชิน ขนาด 400 มม.x500 ม. 1 ชิ้น/แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/food-wraps,https://www.freshket.co/product/detail/%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81/b571e9b1-5fcd-4a27-913d-8651c0e2a592,"บรรจุภัณฑ์
ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร
หนังยาง",บรรจุภัณฑ์,ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร,หนังยาง,"12,466",หนังยางวงเล็ก,1 กก./แพ็ค,,฿88.00,หนังยางวงเล็ก 1 กก./แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/food-wraps,https://www.freshket.co/product/detail/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B9%83%E0%B8%AA-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-5x8-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7/9584562d-5b9f-4977-b798-6d15be408b52,"บรรจุภัณฑ์
ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร
ถุงใส่อาหาร",บรรจุภัณฑ์,ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร,ถุงใส่อาหาร,"15,406",ถุงร้อนใส ขนาด 5x8 นิ้ว,500 ก./แพ็ค,,฿45.00,ถุงร้อนใส ขนาด 5x8 นิ้ว 500 ก./แพ็ค,,
https://www.freshket.co/market/packaging,https://www.freshket.co/market/packaging/food-wraps,https://www.freshket.co/product/detail/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B9%83%E0%B8%AA-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-6x9-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7/080bbe6a-bec1-4d16-a80b-5ed48d62036a,"บรรจุภัณฑ์
ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร
ถุงใส่อาหาร",บรรจุภัณฑ์,ฟิล์ม ถุงใส่อาหาร และอุปกรณ์สำหรับบรรจุอาหาร,ถุงใส่อาหาร,"13,523",ถุงร้อนใส ขนาด 6x9 นิ้ว,500 กรัม/แพ็ค,,฿55.00,ถุงร้อนใส ขนาด 6x9 นิ้ว 500 กรัม/แพ็ค,,
